	nombre	clave	plan	horas	horas_aula	horas_pla
2do	Inglés II                                                                                           	022CB002				
2do	Costos Industriales                                                                                 	041CP030				
2do	Mecánica                                                                                            	052CP031				
2do	Álgebra Lineal                                                                                      	053CP001				
2do	Cálculo Diferencial                                                                                 	053CP003				
2do	Programación                                                                                        	061CP034				
2do	Introducción a la Metrología                                                                        	071CP050				
2do	Cuidado de la Salud                                                                                 	095CB001				
4to	Inglés IV                                                                                           	022CB004				
4to	Administración Industrial                                                                           	042CP015				
4to	Electromagnetismo                                                                                   	052CP014				
4to	Ecuaciones Diferenciales                                                                            	053CP009				
4to	Electrónica Digital                                                                                 	071CP019				
4to	Elementos de Máquinas                                                                               	071CP020				
4to	Mantenimiento y Seguridad Industrial                                                                	071CP046				
4to	Teoría de Circuitos                                                                                 	071CP073				
6to	Metodología de la Investigación II                                                                  	001CP005				
6to	Introducción a la Programación Aplicada                                                             	061CP056				
6to	Electrónica Analógica II                                                                            	071CP016				
6to	Electrónica de Potencia                                                                             	071CP018				
6to	Sensores y Actuadores                                                                               	071CP062				
6to	Sistemas Hidráulicos y Neumáticos                                                                   	071CP070				
6to	Manufactura                                                                                         	072CP027				
8vo	TALLER PARA LA VALIDACION DE LAS COMPETENCIAS DE EGRESO                                             	CHS79C1				
8vo	REDES INDUSTRIALES                                                                                  	COM40C1				
8vo	ROBOTICA                                                                                            	MEC16C1				
8vo	AUTOMATIZACION INDUSTRIAL                                                                           	MEC17C1				
8vo	DISEÑO DE SISTEMAS MECATRONICOS                                                                     	MEC18C1				
8vo	LENGUA EXTRANJERA                                                                                   	LEX06C1				
